  
 NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS ,BASENUMBEROFRAYS, FLUXDETECTED, BASEFLUXDETECTED    
 EM_WAVE,.59       
          
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASENUMBEROFRAYS ,NUMBEROFRAYS, BASEFLUXDETECTED, FLUXDETECTED    
 -1      , 50               , 100            , 0                , 10               , 2         , 50         ,76                  ,7              , 7.59999999999999964, .7             
 -1      , 50               , 100            , 10               , 10               , 2         , 50         ,65                  ,89             , 6.5                , 8.899999       
 -1      , 50               , 100            , 20               , 10               , 2         , 50         ,52                  ,95             , 5.20000000000000017, 9.499999       
 -1      , 50               , 100            , 30               , 10               , 2         , 50         ,45                  ,96             , 4.5                , 9.599999       
 -1      , 50               , 100            , 40               , 10               , 2         , 50         ,35                  ,103            , 3.5                , 10.3           
 -1      , 50               , 100            , 50               , 10               , 2         , 50         ,30                  ,100            , 3                  , 9.999999       
 -1      , 50               , 100            , 60               , 10               , 2         , 50         ,26                  ,87             , 2.60000000000000008, 8.699999       
 -1      , 50               , 100            , 70               , 10               , 2         , 50         ,21                  ,91             , 2.10000000000000008, 9.099999       
 -1      , 50               , 100            , 80               , 10               , 2         , 50         ,17                  ,64             , 1.69999999999999995, 6.4            
 -1      , 50               , 100            , 90               , 10               , 2         , 50         ,14                  ,57             , 1.39999999999999991, 5.7            
 -1      , 50               , 100            , 100              , 10               , 2         , 50         ,12                  ,62             , 1.19999999999999995, 6.2            
 -1      , 50               , 100            , 0                , 10               , 2         , 50         ,76                  ,7              , 7.59999999999999964, .7             
 EM_WAVE,.59       
          
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASENUMBEROFRAYS ,NUMBEROFRAYS, BASEFLUXDETECTED, FLUXDETECTED    
 -2      , 50               , 100            , 0                , 10               , 2         , 50         ,76                  ,16             , 7.59999999999999964, 1.6            
 -2      , 50               , 100            , 10               , 10               , 2         , 50         ,65                  ,136            , 6.5                , 13.6           
 -2      , 50               , 100            , 20               , 10               , 2         , 50         ,52                  ,139            , 5.20000000000000017, 13.9           
 -2      , 50               , 100            , 30               , 10               , 2         , 50         ,45                  ,140            , 4.5                , 14             
 -2      , 50               , 100            , 40               , 10               , 2         , 50         ,35                  ,127            , 3.5                , 12.7           
 -2      , 50               , 100            , 50               , 10               , 2         , 50         ,30                  ,111            , 3                  , 11.1           
 -2      , 50               , 100            , 60               , 10               , 2         , 50         ,26                  ,85             , 2.60000000000000008, 8.499999       
 -2      , 50               , 100            , 70               , 10               , 2         , 50         ,21                  ,85             , 2.10000000000000008, 8.499999       
 -2      , 50               , 100            , 80               , 10               , 2         , 50         ,17                  ,59             , 1.69999999999999995, 5.9            
 -2      , 50               , 100            , 90               , 10               , 2         , 50         ,14                  ,54             , 1.39999999999999991, 5.4            
 -2      , 50               , 100            , 100              , 10               , 2         , 50         ,12                  ,55             , 1.19999999999999995, 5.5            
 -2      , 50               , 100            , 0                , 10               , 2         , 50         ,76                  ,16             , 7.59999999999999964, 1.6            
 EM_WAVE,.59       
          
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASENUMBEROFRAYS ,NUMBEROFRAYS, BASEFLUXDETECTED, FLUXDETECTED    
 -2      , 0                , 100            , 30               , 10               , 2         , 50         ,117                 ,27             , 11.6999999999999992, 2.7            
 -2      , 5                , 100            , 30               , 10               , 2         , 50         ,107                 ,117            , 10.6999999999999992, 11.7           
 -2      , 10               , 100            , 30               , 10               , 2         , 50         ,104                 ,123            , 10.4000000000000003, 12.3           
 -2      , 15               , 100            , 30               , 10               , 2         , 50         ,91                  ,133            , 9.09999900000000039, 13.3           
 -2      , 20               , 100            , 30               , 10               , 2         , 50         ,76                  ,144            , 7.59999999999999964, 14.4           
 -2      , 25               , 100            , 30               , 10               , 2         , 50         ,70                  ,138            , 7                  , 13.8           
 -2      , 30               , 100            , 30               , 10               , 2         , 50         ,65                  ,134            , 6.5                , 13.4           
 -2      , 35               , 100            , 30               , 10               , 2         , 50         ,54                  ,152            , 5.40000000000000035, 15.2           
 -2      , 40               , 100            , 30               , 10               , 2         , 50         ,52                  ,134            , 5.20000000000000017, 13.4           
 -2      , 45               , 100            , 30               , 10               , 2         , 50         ,47                  ,144            , 4.70000000000000017, 14.4           
 -2      , 50               , 100            , 30               , 10               , 2         , 50         ,45                  ,140            , 4.5                , 14             
 -2      , 55               , 100            , 30               , 10               , 2         , 50         ,40                  ,153            , 4                  , 15.3           
 -2      , 60               , 100            , 30               , 10               , 2         , 50         ,35                  ,143            , 3.5                , 14.3           
 -2      , 65               , 100            , 30               , 10               , 2         , 50         ,32                  ,148            , 3.20000000000000017, 14.8           
 -2      , 70               , 100            , 30               , 10               , 2         , 50         ,30                  ,136            , 3                  , 13.6           
 -2      , 75               , 100            , 30               , 10               , 2         , 50         ,29                  ,159            , 2.89999999999999991, 15.9           
 -2      , 80               , 100            , 30               , 10               , 2         , 50         ,26                  ,140            , 2.60000000000000008, 14             
 -2      , 85               , 100            , 30               , 10               , 2         , 50         ,20                  ,154            , 2                  , 15.4           
 -2      , 90               , 100            , 30               , 10               , 2         , 50         ,21                  ,145            , 2.10000000000000008, 14.5           
 -2      , 95               , 100            , 30               , 10               , 2         , 50         ,19                  ,145            , 1.89999999999999991, 14.5           
 -2      , 100              , 100            , 30               , 10               , 2         , 50         ,17                  ,134            , 1.69999999999999995, 13.4           
 -2      , 0                , 100            , 30               , 10               , 2         , 50         ,117                 ,27             , 11.6999999999999992, 2.7            
 EM_WAVE,.59       
          
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASENUMBEROFRAYS ,NUMBEROFRAYS, BASEFLUXDETECTED, FLUXDETECTED    
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASENUMBEROFRAYS ,NUMBEROFRAYS, BASEFLUXDETECTED, FLUXDETECTED    
 -2      , 75               , 100            , 30               , 10               , 2         , 50         ,29                  ,159            , 2.89999999999999991, 15.9           
 -2      , 75               , 113.33333333333, 30               , 10               , 2         , 50         ,29                  ,150            , 2.89999999999999991, 15             
 -2      , 75               , 126.66666666666, 30               , 10               , 2         , 50         ,29                  ,153            , 2.89999999999999991, 15.3           
 -2      , 75               , 140            , 30               , 10               , 2         , 50         ,29                  ,159            , 2.89999999999999991, 15.9           
 -2      , 75               , 153.33333333333, 30               , 10               , 2         , 50         ,29                  ,156            , 2.89999999999999991, 15.6           
 -2      , 75               , 166.66666666666, 30               , 10               , 2         , 50         ,29                  ,147            , 2.89999999999999991, 14.7           
 -2      , 75               , 180            , 30               , 10               , 2         , 50         ,29                  ,152            , 2.89999999999999991, 15.2           
 -2      , 75               , 193.33333333333, 30               , 10               , 2         , 50         ,29                  ,153            , 2.89999999999999991, 15.3           
 -2      , 75               , 206.66666666666, 30               , 10               , 2         , 50         ,29                  ,151            , 2.89999999999999991, 15.1           
 -2      , 75               , 220            , 30               , 10               , 2         , 50         ,29                  ,154            , 2.89999999999999991, 15.4           
 -2      , 75               , 233.33333333333, 30               , 10               , 2         , 50         ,29                  ,157            , 2.89999999999999991, 15.7           
 -2      , 75               , 246.66666666666, 30               , 10               , 2         , 50         ,29                  ,149            , 2.89999999999999991, 14.9           
 -2      , 75               , 260            , 30               , 10               , 2         , 50         ,29                  ,151            , 2.89999999999999991, 15.1           
 -2      , 75               , 273.33333333333, 30               , 10               , 2         , 50         ,29                  ,155            , 2.89999999999999991, 15.5           
 -2      , 75               , 286.66666666666, 30               , 10               , 2         , 50         ,29                  ,150            , 2.89999999999999991, 15             
 -2      , 75               , 300            , 30               , 10               , 2         , 50         ,29                  ,153            , 2.89999999999999991, 15.3           
 -2      , 75               , 166.66666666666, 30               , 10               , 2         , 50         ,29                  ,147            , 2.89999999999999991, 14.7           
 EM_WAVE,.59       
          
